baseline,stage1,stage2,stage3,stage4,recovery,stage5
33814.0,31866.0,30105.0,27750.0,23284.0,21275.0,18593.0
33939.0,31983.0,30210.0,27851.0,23369.0,21366.0,18658.0
34061.0,32104.0,30330.0,27953.0,23454.0,21457.0,18723.0
34187.0,32220.0,30446.0,28055.0,23540.0,21547.0,18788.0
34315.0,32347.0,30562.0,28157.0,23624.0,21638.0,18853.0
34445.0,32475.0,30674.0,28259.0,23709.0,21728.0,18919.0
34561.0,32599.0,30786.0,28360.0,23788.0,21819.0,18984.0
34687.0,32723.0,30900.0,28463.0,23872.0,21911.0,19049.0
34812.0,32850.0,31015.0,28565.0,23963.0,22002.0,19113.0
34947.0,32975.0,31122.0,28666.0,24041.0,22094.0,19179.0
35075.0,33095.0,31233.0,28767.0,24132.0,22186.0,19244.0
35199.0,33219.0,31351.0,28871.0,24217.0,22279.0,19309.0
35341.0,33332.0,31464.0,28976.0,24301.0,22371.0,19374.0
35473.0,33451.0,31576.0,29081.0,24385.0,22463.0,19440.0
35590.0,33568.0,31685.0,29185.0,24470.0,22555.0,19506.0
